Parcel.ID,Address,Sale.Price,Sale.Date,Sale.Condition,Assessed.Value,Parcel.Type,Year.Built,Total.Living.Area,Finished.Bsmt.Area,Lot.Area,Bedrooms,Central.Air,Fireplaces,Occupancy,Style,Neighborhood,INSTRUMENTNUMBER,Date,year,month,day,Sale.Mean.Price,age,class,long,lat
522105010,1407 LEDGES DR,75000,5/1/2016 12:00:00 AM,Normal,600,Vac.Lot,0,0,0,10015,0,No Data,0,,NA,HaydnLk,201603686,2016-05-01,2016,5,1,188974.820754717,2016,no information,-93.6305523,42.077306
522110010,1408 LEDGES DR,88000,5/1/2016 12:00:00 AM,Normal,700,Vac.Lot,0,0,0,12474,0,No Data,0,,NA,HaydnLk,201604055,2016-05-01,2016,5,1,188974.820754717,2016,no information,-93.6305523,42.077306
522125010,1401 ADA HAYDEN RD,106018,3/1/2016 12:00:00 AM,Alloca,700,Vac.Lot,0,0,0,13029,0,No Data,0,,NA,HaydnLk,201602265,2016-03-01,2016,3,1,171606.488372093,2016,no information,-93.6323869,42.0758209
522125030,1505 ADA HAYDEN RD,90872,3/1/2016 12:00:00 AM,Alloca,600,Vac.Lot,0,0,0,10727,0,No Data,0,,NA,HaydnLk,201602265,2016-03-01,2016,3,1,171606.488372093,2016,no information,-93.6323869,42.0758209
522125040,1513 ADA HAYDEN RD,90872,3/1/2016 12:00:00 AM,Alloca,600,Vac.Lot,0,0,0,10727,0,No Data,0,,NA,HaydnLk,201602265,2016-03-01,2016,3,1,171606.488372093,2016,no information,-93.6323869,42.0758209
522125050,1521 ADA HAYDEN RD,90873,3/1/2016 12:00:00 AM,Alloca,600,Vac.Lot,0,0,0,10727,0,No Data,0,,NA,HaydnLk,201602265,2016-03-01,2016,3,1,171606.488372093,2016,no information,-93.6323869,42.0758209
522125060,1527 ADA HAYDEN RD,90873,3/1/2016 12:00:00 AM,Alloca,600,Vac.Lot,0,0,0,10727,0,No Data,0,,NA,HaydnLk,201602265,2016-03-01,2016,3,1,171606.488372093,2016,no information,-93.6323869,42.0758209
522125070,1605 ADA HAYDEN RD,90873,3/1/2016 12:00:00 AM,Alloca,600,Vac.Lot,0,0,0,10727,0,No Data,0,,NA,HaydnLk,201602265,2016-03-01,2016,3,1,171606.488372093,2016,no information,-93.6323869,42.0758209
522125090,1623 ADA HAYDEN RD,95000,1/1/2016 12:00:00 AM,Normal,600,Vac.Lot,0,0,0,10727,0,No Data,0,,NA,HaydnLk,201602906,2016-01-01,2016,1,1,189237.188679245,2016,no information,-93.6323869,42.0758209
522125110,1711 ADA HAYDEN RD,90873,3/1/2016 12:00:00 AM,Alloca,600,Vac.Lot,0,0,0,10727,0,No Data,0,,NA,HaydnLk,201602265,2016-03-01,2016,3,1,171606.488372093,2016,no information,-93.6323869,42.0758209
522135010,1424 ADA HAYDEN RD,200000,1/1/2016 12:00:00 AM,Normal,900,Vac.Lot,0,0,0,16324,0,No Data,0,,NA,HaydnLk,201601751,2016-01-01,2016,1,1,189237.188679245,2016,no information,-93.6323869,42.0758209
522135020,1504 ADA HAYDEN RD,185000,1/1/2016 12:00:00 AM,Normal,800,Vac.Lot,0,0,0,15042,0,No Data,0,,NA,HaydnLk,201601639,2016-01-01,2016,1,1,189237.188679245,2016,no information,-93.6323869,42.0758209
522135030,1514 ADA HAYDEN RD,200000,1/1/2016 12:00:00 AM,Normal,1400,Vac.Lot,0,0,0,25037,0,No Data,0,,NA,HaydnLk,201601449,2016-01-01,2016,1,1,189237.188679245,2016,no information,-93.6323869,42.0758209
522202050,5808 QUARRY  DR,41143,9/1/2016 12:00:00 AM,Alloca,300,Vac.Lot,0,0,0,6260,0,No Data,0,,NA,HaydnLk,201609173,2016-09-01,2016,9,1,194895.390625,2016,no information,-93.6286801,42.0774494
522202060,5747 QUARRY  DR,54857,9/1/2016 12:00:00 AM,Alloca,400,Vac.Lot,0,0,0,7435,0,No Data,0,,NA,HaydnLk,201609173,2016-09-01,2016,9,1,194895.390625,2016,no information,-93.6286801,42.0774494
522202070,5731 QUARRY  DR,54857,9/1/2016 12:00:00 AM,Alloca,400,Vac.Lot,0,0,0,7410,0,No Data,0,,NA,HaydnLk,201609174,2016-09-01,2016,9,1,194895.390625,2016,no information,-93.6286801,42.0774494
522202080,5721 QUARRY  DR,41143,9/1/2016 12:00:00 AM,Alloca,300,Vac.Lot,0,0,0,6219,0,No Data,0,,NA,HaydnLk,201609174,2016-09-01,2016,9,1,194895.390625,2016,no information,-93.6286801,42.0774494
522202090,5717 QUARRY  DR,47769,9/1/2016 12:00:00 AM,Alloca,300,Vac.Lot,0,0,0,5487,0,No Data,0,,NA,HaydnLk,201609177,2016-09-01,2016,9,1,194895.390625,2016,no information,-93.6286801,42.0774494
522202100,5713 QUARRY  DR,47769,9/1/2016 12:00:00 AM,Alloca,300,Vac.Lot,0,0,0,5490,0,No Data,0,,NA,HaydnLk,201609177,2016-09-01,2016,9,1,194895.390625,2016,no information,-93.6286801,42.0774494
522202110,5709 QUARRY  DR,47769,9/1/2016 12:00:00 AM,Alloca,300,Vac.Lot,0,0,0,5494,0,No Data,0,,NA,HaydnLk,201609177,2016-09-01,2016,9,1,194895.390625,2016,no information,-93.6286801,42.0774494
